"date","Clarke","Barrow","Jackson","Madison","Oconee","Oglethorpe","Walton","Banks","Elbert","Franklin","Greene","Hancock","Hart","Morgan","Putnam","Stephens","Taliaferro"
2020-03-14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
2020-03-15,"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
2020-03-16,"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
2020-03-17,"3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
2020-03-18,"5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
2020-03-19,"8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
2020-03-20,"9","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0",0
2020-03-21,"9","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0",0
2020-03-22,"10","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0",0
2020-03-23,"14","1","0","1","3","0","0","0","0","0","0","0","0","1","0","0",0
2020-03-24,"17","2","0","1","5","0","0","0","0","0","1","0","0","1","0","2",0
2020-03-25,"21","2","1","2","6","0","0","0","0","0","1","0","0","1","0","1",0
2020-03-26,"29","5","2","3","7","0","0","0","0","1","1","0","0","1","0","1",0
2020-03-27,"34","7","2","3","10","0","0","0","0","1","1","0","1","1","0","2",0
2020-03-28,"35","7","2","3","10","0","2","0","0","2","1","0","1","1","0","3",0
2020-03-29,"35","6","2","3","11","0","4","0","0","2","1","0","1","1","0","3",0
2020-03-30,"47","9","2","3","12","0","5","1","0","4","3","0","2","1","0","3",0
2020-03-31,"51","19","8","3","16","1","9","3","0","4","7","0","4","2","0","4",0
2020-04-01,"54","20","10","3","17","1","13","3","0","5","8","0","3","2","1","5",0
2020-04-02,"55","20","11","5","19","1","15","3","0","5","8","0","3","2","2","5",0
2020-04-03,"59","22","13","7","21","1","16","3","1","5","12","0","3","2","2","5",0
2020-04-04,"62","25","15","7","24","1","18","3","1","5","12","0","3","2","2","6",0
2020-04-05,"62","25","15","7","24","1","21","3","1","5","12","0","3","2","2","6",0
2020-04-06,"72","29","18","9","24","1","23","2","2","3","15","0","3","6","3","8",0
2020-04-07,"78","42","23","9","33","2","25","4","2","3","23","1","3","10","5","13",0
2020-04-08,"81","46","23","10","33","2","27","4","3","3","23","1","3","12","5","15",0
2020-04-09,"82","48","26","10","34","5","32","5","3","3","24","1","3","13","5","15",0
2020-04-10,"81","51","26","10","37","12","34","7","3","4","25","1","3","14","5","16",0
2020-04-11,"82","51","26","10","36","12","38","7","3","4","25","3","3","14","5","17",0
2020-04-12,"84","55","27","10","38","12","42","7","3","4","26","3","3","14","6","17",0
2020-04-13,"88","57","29","11","39","13","45","7","6","4","30","3","5","15","7","20",0
2020-04-14,"95","58","32","12","41","18","48","8","6","4","30","5","5","15","9","20",0
2020-04-15,"102","68","35","13","44","31","54","9","7","7","34","6","5","17","12","24",0
2020-04-16,"102","81","43","14","45","32","56","13","7","10","40","6","5","19","14","28",0
2020-04-17,"106","85","46","14","48","32","58","13","7","10","40","6","5","19","17","30",0
2020-04-18,"106","87","47","14","48","32","59","13","7","10","42","7","5","20","19","31",0
2020-04-19,"110","90","48","14","50","33","61","14","7","10","43","7","6","22","22","35",0
2020-04-20,"114","93","55","15","51","34","63","15","7","12","45","10","6","22","25","40",0
2020-04-21,"116","101","57","17","53","34","63","16","7","12","50","10","6","23","26","41",0
2020-04-22,"118","103","63","18","53","34","73","16","10","13","50","11","6","23","27","42",0
2020-04-23,"122","106","69","19","54","36","81","17","14","16","49","14","6","25","29","48",0
