"date","Baker","Calhoun","Colquitt","Decatur","Dougherty","Early","Grady","Lee","Miller","Mitchell","Seminole","Terrell","Thomas","Worth"
2020-03-14,"0","0","0","0","0","0","0","1","0","0","0","0","0","0"
2020-03-15,"0","0","0","0","6","0","0","2","0","0","0","0","0","0"
2020-03-16,"0","0","0","0","6","0","0","2","0","0","0","0","0","0"
2020-03-17,"0","0","0","0","6","0","0","2","0","0","0","0","0","0"
2020-03-18,"0","0","0","0","7","0","0","2","0","0","0","0","0","0"
2020-03-19,"0","0","0","0","20","2","0","3","0","0","0","0","0","0"
2020-03-20,"0","0","0","0","44","2","0","13","1","0","0","2","0","2"
2020-03-21,"0","0","0","0","47","2","0","14","1","0","0","2","0","2"
2020-03-22,"0","0","0","0","52","2","0","16","1","0","0","2","0","2"
2020-03-23,"0","0","0","0","69","2","0","19","1","0","0","2","0","3"
2020-03-24,"3","0","1","0","101","5","0","24","1","4","2","3","0","4"
2020-03-25,"3","0","2","1","123","6","0","25","2","4","2","4","1","3"
2020-03-26,"1","1","4","2","164","7","0","29","2","10","2","5","1","6"
2020-03-27,"1","2","5","3","203","13","0","37","3","14","2","6","3","7"
2020-03-28,"1","3","5","4","224","16","0","39","4","15","3","10","7","8"
2020-03-29,"1","3","6","4","247","16","0","43","4","15","5","10","7","10"
2020-03-30,"1","6","7","6","278","20","0","44","5","16","7","20","7","12"
2020-03-31,"4","9","20","8","466","32","1","90","4","34","6","40","10","28"
2020-04-01,"4","10","21","8","490","34","2","94","4","39","5","46","14","28"
2020-04-02,"4","10","28","10","521","42","2","104","4","40","6","47","17","28"
2020-04-03,"4","11","44","16","607","61","3","123","11","46","8","50","26","33"
2020-04-04,"5","15","49","16","685","64","3","134","10","53","8","57","26","36"
2020-04-05,"5","17","51","17","688","70","3","138","14","56","9","58","28","37"
2020-04-06,"5","20","61","13","722","81","4","148","15","59","9","66","28","39"
2020-04-07,"10","31","70","21","973","96","6","204","11","100","13","92","42","60"
2020-04-08,"9","35","79","22","1001","97","8","210","9","113","13","95","56","65"
2020-04-09,"11","37","79","25","1042","105","13","217","9","118","13","98","72","70"
2020-04-10,"11","39","80","27","1072","107","15","230","10","135","14","103","74","78"
2020-04-11,"13","41","84","28","1102","120","15","236","10","136","14","106","76","80"
2020-04-12,"14","45","87","29","1178","125","15","244","11","138","15","109","77","87"
2020-04-13,"16","53","88","39","1245","128","18","255","13","150","16","118","78","96"
2020-04-14,"16","54","88","46","1297","137","21","258","15","164","16","134","89","99"
2020-04-15,"17","59","90","51","1320","145","23","264","19","176","19","137","109","111"
2020-04-16,"18","59","105","55","1358","148","26","267","20","193","21","137","112","114"
2020-04-17,"16","57","108","55","1385","163","27","269","20","209","20","142","115","116"
2020-04-18,"16","57","120","55","1409","165","27","272","20","212","20","146","115","119"
2020-04-19,"17","58","125","62","1425","170","31","274","22","203","22","148","125","122"
2020-04-20,"20","61","145","60","1436","173","34","276","23","210","25","150","126","128"
2020-04-21,"20","75","156","53","1456","174","38","277","23","254","26","156","143","140"
2020-04-22,"18","76","158","50","1479","184","40","294","24","280","27","159","148","142"
2020-04-23,"19","82","163","61","1478","185","47","298","26","290","27","162","158","142"
2020-04-24,"19","84","165","59","1465","188","48","297","24","288","27","165","157","138"
2020-04-25,"19","86","165","60","1470","194","48","299","28","287","27","165","157","140"
