date,Clarke,Barrow,Jackson,Madison,Oconee,Oglethorpe,Walton,Banks,Elbert,Franklin,Greene,Hancock,Hart,Morgan,Putnam,Stephens,Taliaferro
3/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/16/20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/19/20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/20/20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/22/20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3/23/20,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3/24/20,3,1,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0
3/25/20,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,0
3/26/20,8,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
3/27/20,5,2,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0
3/28/20,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0
3/29/20,0,-1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
3/30/20,6,1,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0
