"date","Clarke","Barrow","Jackson","Madison","Oconee","Oglethorpe","Walton","Banks","Elbert","Franklin","Greene","Hancock","Hart","Morgan","Putnam","Stephens","Taliaferro"
2020-03-14,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-03-15,"2","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-03-16,"3","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-03-17,"3","1","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-03-18,"5","1","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-03-19,"8","1","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-03-20,"9","1","0","0","1","0","0","0","0","0","0",0,"0","0","0","0",0
2020-03-21,"9","1","0","0","1","0","0","0","0","0","0",0,"0","0","0","0",0
2020-03-22,"10","1","0","0","2","0","0","0","0","0","0",0,"0","0","0","0",0
2020-03-23,"14","1","0","1","3","0","0","0","0","0","0",0,"0","1","0","0",0
2020-03-24,"17","2","0","1","5","0","0","0","0","0","1",0,"0","1","0","2",0
2020-03-25,"21","2","1","2","6","0","0","0","0","0","1",0,"0","1","0","1",0
2020-03-26,"29","5","2","3","7","0","0","0","0","1","1",0,"0","1","0","1",0
2020-03-27,"34","7","2","3","10","0","0","0","0","1","1",0,"1","1","0","2",0
2020-03-28,"35","7","2","3","10","0","2","0","0","2","1",0,"1","1","0","3",0
2020-03-29,"35","6","2","3","11","0","4","0","0","2","1",0,"1","1","0","3",0
2020-03-30,"47","9","2","3","12","0","5","1","0","4","3",0,"2","1","0","3",0
2020-03-31,"51","19","8","3","16","1","9","3","0","4","7",0,"4","2","0","4",0
2020-04-01,"54","20","10","3","17","1","13","3","0","5","8",0,"3","2","1","5",0
2020-04-02,"55","20","11","5","19","1","15","3","0","5","8",0,"3","2","2","5",0
2020-04-03,"59","22","13","7","21","1","16","3","1","5","12",0,"3","2","2","5",0
2020-04-04,"62","25","15","7","24","1","18","3","1","5","12",0,"3","2","2","6",0
2020-04-05,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-06,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-07,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-08,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-09,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-10,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-11,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-12,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-13,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-14,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-15,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-16,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-17,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-18,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-19,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-20,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-21,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-22,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-23,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-24,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-25,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-26,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-27,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-28,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-29,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-04-30,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-05-01,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
2020-05-02,"0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0",0
